Language,language,glottocode,affiliation,area,latitude,longitude,Nominal case.no,Nominal case.type,Pronominal case.no,Pronominal case.type,Alignment of Case Marking of Full Noun Phrases,Alignment of Case Marking of Pronouns,Comitatives and Instrumentals,Noun Phrase Conjunction,Nominal and Verbal Conjunction,Definite Articles,Indefinite Articles,Definite marking with demonstratives,plural marking in construct state,definiteness marking in construct state,ClausePosition,Expression of Pronominal Subjects,Indefinite Pronouns,demonstrative declension,Third Person Pronouns and Demonstratives,Distance Contrasts in Demonstratives,Pronominal and Adnominal Demonstratives,Intensifiers and Reflexive Pronouns,Gender Distinctions in Independent Personal Pronouns,Systems of Gender Assignment,Gender.n,Negative Morphemes,InclExcl,pronominal duality,Nominal Duality,Nominal Plurality,Ordinal Numerals,Distributive Numerals,num.behave,NumClass.n,NPHeadlessness,NPMarking ,NPAgrCat ,Order of Adjective and Noun,Order of Adposition and Noun Phrase,Order of Degree Word and Adjective,Order of Demonstrative and Noun,Order of Genitive and Noun,Order of Negative Morpheme and Verb,Order of Numeral and Noun,"Order of Object, Oblique, and Verb",Order of Relative Clause and Noun,Passive Constructions,Reciprocal Constructions,Optative,The Prohibitive,The Morphological Imperative,Person Marking on Adpositions,Position of Interrogative Phrases in Content Questions,Position of Polar Question Particles,Possessive Classification,Position of Pronominal Possessive Affixes,Locus of Marking in Possessive Noun Phrases,Reduplication,The Future Tense,The Past Tense,Perfective/Imperfective Aspect,VAgreement.Presence.v1,VAgreement.Type.v1,Verbal Person Marking,VInflCatAndAgrFmtvMax.n,VInflCatAndAgrFmtvMax.type,WordOrderSOV,time.begin,time.end
Akkadian,Old Akkadian,akka1240,East Semitic,Near East,33.1,44.1,5,"Nominative, Genitive, Accusative, Terminate, Locative",2,"Nominativ, Genitive/Accusative",Nominative - accusative (standard),Nominative - accusative (standard),Differentiation,And' different from 'with',Identity,Neither definite nor indefinite article,Neither definite nor indefinite article,no definite article ,on the nomen rectum ,no definite article,flexible-relational,Optional pronouns in subject position,Interrogative-based,"Case, Number, Gender",Related to remote demonstratives,Two-way contrast,Identical,Identical,In 3rd person + 1st and/or 2nd person,Semantic and formal,Two,Negative particle,FALSE,Only with,paired nouns only,Plural suffix,"First/one-th, two-th, three-th",NA,special,0,OK,Head Driven Agreement Construct State + Genitive Case,"Case, Number, Gender",Noun-Adjective,Prepositions,NA,Noun-Demonstrative,Noun-Genitive,NegV,Numeral-Noun,OXV,Noun-Relative clause,Present,Distinct from reflexive,Inflectional optative present,Special imperative + special negative,Second singular and second plural,No person marking,Initial interrogative phrase,No question particle,No possessive classification,Possessive suffixes,Double marking,Productive full and partial reduplication,No inflectional future,No past tense,Grammatical marking,TRUE,"Person, Number, Gender",Only the A argument,4,TAM,SOV,2500 BC,1950 BC
Akkadian,Old Assyrian,akka1240,East Semitic,Near East,35.88,40.95,3,"Nominative, Genitive, Accusative",2 3,"Nominative, Oblique Genitive, Dative, Accusative Nominative, Genitive, Accusative",Nominative - accusative (standard),Nominative - accusative (standard),Identity,And' different from 'with',Identity,Neither definite nor indefinite article,Neither definite nor indefinite article,no definite article ,on the nomen rectum ,no definite article,flexible-relational,Optional pronouns in subject position,Interrogative-based,"Case, Number, Gender",Unrelated,No distance contrast,Identical,Identical,In 3rd person + 1st and/or 2nd person,Semantic and formal,Two,Negative particle,FALSE,No dual,Productive with all nouns ,Plural suffix,"First/one-th, two-th, three-th",Marked by mixed or other strategies,special,0,OK,NA,NA,Noun-Adjective,Prepositions,NA,Noun-Demonstrative,Noun-Genitive,NegV,Numeral-Noun,No dominant order,Noun-Relative clause,Present,Mixed,Inflectional optative present,Special imperative + special negative,Second singular and second plural,Pronouns only,Initial interrogative phrase,No question particle,No possessive classification,Possessive suffixes,Double marking,Productive full and partial reduplication,No inflectional future,No past tense,No grammatical marking,TRUE,"Person, Number, Gender",Only the A argument,5,"Present, Preterite, Perfect, Stative, Imperative, Precative/Asseverative, Prohibitive, Vetitive, Ventive, Subjunctive",SOV,1950 BC,1750 BC
Akkadian,Middle Assyrian,akka1240,East Semitic,Near East,36.21,41.15,3,"Nominative, Genitive, Accusative",2 3,"Nominative, Oblique Genitive, Dative, Accusative Nominative, Genitive, Accusative",Nominative - accusative (standard),Nominative - accusative (standard),Identity,And' different from 'with',Identity,Neither definite nor indefinite article,Neither definite nor indefinite article,no definite article ,on the nomen rectum ,no definite article,flexible-relational,Optional pronouns in subject position,Interrogative-based,"Case, Number, Gender",Unrelated,No distance contrast,Identical,Identical,In 3rd person + 1st and/or 2nd person,Semantic and formal,Two,Negative particle,FALSE,No dual,Productive with all nouns ,Plural suffix,"First/one-th, two-th, three-th",Marked by mixed or other strategies,special,0,OK,NA,NA,Noun-Adjective,Prepositions,NA,Noun-Demonstrative,Noun-Genitive,NegV,Numeral-Noun,No dominant order,Noun-Relative clause,Present,Mixed,Inflectional optative present,Special imperative + special negative,Second singular and second plural,Pronouns only,Initial interrogative phrase,No question particle,No possessive classification,Possessive suffixes,Double marking,Productive full and partial reduplication,No inflectional future,No past tense,No grammatical marking,TRUE,"Person, Number, Gender",Only the A argument,5,"Present, Preterite, Perfect, Stative, Imperative, Precative/Asseverative, Prohibitive, Vetitive, Ventive, Subjunctive",SOV,1500 BC,1000 BC
Akkadian,Neo-Assyrian,akka1240,East Semitic,Near East,36.31,41.05,2,"Nominative/Accusative, Genitive",2 3,"Nominative, Oblique Nominative, Genitive, Accusative/Dative",Nominative - accusative (standard),Nominative - accusative (standard),NA,NA,Identity,Neither definite nor indefinite article,Neither definite nor indefinite article,no definite article ,on the nomen rectum ,Neither definite nor indefinite article,flexible-relational,Optional pronouns in subject position,Special,"Number, Gender",Unrelated,Two-way contrast,Identical,NA,In 3rd person + 1st and/or 2nd person,NA,NA,Negative particle,FALSE,No dual,No duality,Plural suffix,"First/one-th, two-th, three-th",Marked by suffix,special,0,NA,NA,NA,Noun-Adjective,Prepositions,NA,Noun-Demonstrative,Noun-Genitive,NegV,Numeral-Noun,No dominant order,Noun-Relative clause,NA,NA,Inflectional optative present,Special imperative + normal negative,Second singular and second plural,Pronouns only,Mixed,NA,No possessive classification,Possessive suffixes,Double marking,Productive full and partial reduplication,No inflectional future,NA,NA,TRUE,"Person, Number, Gender",Only the A argument,4,"Present, Perfect, Preterite, Precative/Cohortative, Imperative, Prohibitive, Stative",SOV,1000 BC,600 BC
Akkadian,Old Babylonian,akka1240,East Semitic,Near East,32.61,44.61,3,"Nominative, Genitive, Accusative",3,"Nominative, Genitive/Accusative, Dative",Nominative - accusative (standard),Nominative - accusative (standard),Differentiation,And' different from 'with',Identity,Neither definite nor indefinite article,Neither definite nor indefinite article,no definite article ,on the nomen rectum ,no definite article,flexible-relational,Optional pronouns in subject position,Interrogative-based,"Case, Number, Gender",Related to remote demonstratives,Two-way contrast,Identical,Identical,In 3rd person + 1st and/or 2nd person,Semantic and formal,Two,Negative particle,FALSE,No dual,paired nouns only,Plural suffix,"First/one-th, two-th, three-th",NA,special,0,OK,Head Driven Agreement Construct State + Genitive Case,"Case, Number, Gender",Noun-Adjective,Prepositions,NA,Noun-Demonstrative,Noun-Genitive,NegV,Numeral-Noun,OXV,Noun-Relative clause,Present,Distinct from reflexive,Inflectional optative present,Special imperative + special negative,Second singular and second plural,No person marking,Initial interrogative phrase,No question particle,No possessive classification,Possessive suffixes,Double marking,Productive full and partial reduplication,No inflectional future,No past tense,Grammatical marking,TRUE,"Person, Number, Gender",Only the A argument,4,"Durative, Perfect, Preterite, Imperative, Prectaive, Vetitive",SOV,1950 BC,1530 BC
Akkadian,Middle Babylonian,akka1240,East Semitic,Near East,32.75,44.51,3,"Nominative, Genitive, Accusative",2,"Nominative, Genitive/Accusative",Nominative - accusative (standard),Nominative - accusative (standard),Differentiation,And' different from 'with',Identity,Neither definite nor indefinite article,Neither definite nor indefinite article,no definite article ,on the nomen rectum ,no definite article,flexible-relational,Optional pronouns in subject position,Interrogative-based,"Case, Number, Gender",Related to remote demonstratives,Two-way contrast,Identical,Identical,In 3rd person + 1st and/or 2nd person,Semantic and formal,Two,Negative particle,FALSE,No dual,paired nouns only,Plural suffix,"First/one-th, two-th, three-th",NA,special,0,OK,Head Driven Agreement Construct State + Genitive Case,"Case, Number, Gender",Noun-Adjective,Prepositions,NA,Noun-Demonstrative,Noun-Genitive,NegV,Numeral-Noun,OXV,Noun-Relative clause,Present,Distinct from reflexive,Inflectional optative present,Special imperative + special negative,Second singular and second plural,No person marking,Initial interrogative phrase,No question particle,No possessive classification,Possessive suffixes,Double marking,Productive full and partial reduplication,No inflectional future,No past tense,Grammatical marking,TRUE,"Person, Number, Gender",Only the A argument,4,"Durative, Perfect, Preterite, Imperative, Prectaive, Vetitive",SOV,1530 BC,1000 BC
Akkadian,Neo-Babylonian,akka1240,East Semitic,Near East,32.5,44.87,3,"Nominative, Genitive, Accusative",2,"Nominative, Genitive/Accusative",Nominative - accusative (standard),Nominative - accusative (standard),Differentiation,And' different from 'with',Identity,Neither definite nor indefinite article,Neither definite nor indefinite article,no definite article ,on the nomen rectum ,no definite article,flexible-relational,Optional pronouns in subject position,Interrogative-based,"Case, Number, Gender",Related to remote demonstratives,Two-way contrast,Identical,Identical,In 3rd person + 1st and/or 2nd person,Semantic and formal,Two,Negative particle,FALSE,No dual,paired nouns only,Plural suffix,"First/one-th, two-th, three-th",NA,special,0,OK,Head Driven Agreement Construct State + Genitive Case,"Case, Number, Gender",Noun-Adjective,Prepositions,NA,Noun-Demonstrative,Noun-Genitive,NegV,Numeral-Noun,OXV,Noun-Relative clause,Present,Distinct from reflexive,Inflectional optative present,Special imperative + special negative,Second singular and second plural,No person marking,Initial interrogative phrase,No question particle,No possessive classification,Possessive suffixes,Double marking,Productive full and partial reduplication,No inflectional future,No past tense,Grammatical marking,TRUE,"Person, Number, Gender",Only the A argument,4,"Durative, Perfect, Preterite, Imperative, Prectaive, Vetitive",SOV,1000 BC,625 BC
Akkadian,Eblaite,ebla1238,East Semitic,Near East,35.8,36.8,3,"Nominative, Genitive, Accusative",2,"Nominative, Genitive/Accusative",Nominative - accusative (standard),Nominative - accusative (standard),Differentiation,And' different from 'with',Identity,Neither definite nor indefinite article,Neither definite nor indefinite article,no definite article ,on the nomen rectum ,no definite article,flexible-relational,Optional pronouns in subject position,Interrogative-based,"Case, Number, Gender",Related to remote demonstratives,Two-way contrast,Identical,Identical,In 3rd person + 1st and/or 2nd person,Semantic and formal,Two,Negative particle,FALSE,Only with,paired nouns only,Plural suffix,"First/one-th, two-th, three-th",NA,special,0,OK,Head Driven Agreement Construct State + Genitive Case,"Case, Number, Gender",Noun-Adjective,Prepositions,NA,Noun-Demonstrative,Noun-Genitive,NegV,Numeral-Noun,OXV,Noun-Relative clause,Present,Distinct from reflexive,Inflectional optative present,Special imperative + special negative,Second singular and second plural,No person marking,Initial interrogative phrase,No question particle,No possessive classification,Possessive suffixes,Double marking,Productive full and partial reduplication,No inflectional future,No past tense,Grammatical marking,TRUE,"Person, Number, Gender",Only the A argument,4,"Durative, Perfect, Preterite, Imperative, Prectaive, Vetitive",SOV,2300 BC,2250 BC
Ancient North Arabian,Dumaitic North Arabian,duma1255,Central Semitic,Near East,29.8,39.89,NA,NA,NA,NA,NA,NA,Differentiation,And' different from 'with',Identity,Definite affix,"No indefinite, but definite article",on the noun,NA,on the nomen rectum ,NA,Subject affixes on verb,NA,NA,NA,NA,NA,NA,NA,Semantic and formal,Two,Negative particle,NA,Productive dual ,NA,Plural suffix,NA,NA,noun,NA,NA,Head Driven Agreement Juxtaposition,"Gender,Number,Definiteness ",Noun-Adjective,Prepositions,NA,Noun-Demonstrative,Noun-Genitive,NegV,Numeral-Noun,NA,Noun-Relative clause,NA,NA,NA,NA,Second singular and second plural,Pronouns only,NA,NA,NA,Possessive suffixes,NA,NA,NA,NA,Grammatical marking,TRUE,"Person, Number, Gender","A obligatory, P optional",3,Aspect,SVO,800 BC,400 CE
Ancient North Arabian,Hasaitic North Arabian,hasa1249,Central Semitic,Near East,25.79,49.27,NA,NA,NA,NA,NA,NA,Differentiation,And' different from 'with',Identity,Neither definite nor indefinite article,Neither definite nor indefinite article,no definite article ,NA,no definite article,NA,Subject affixes on verb,NA,NA,NA,NA,NA,NA,NA,Semantic and formal,Two,Negative particle,NA,Productive dual ,NA,Plural suffix,NA,NA,noun,NA,NA,Head Driven Agreement Juxtaposition,"Gender,Number,Definiteness ",Noun-Adjective,Prepositions,NA,Noun-Demonstrative,Noun-Genitive,NegV,Numeral-Noun,No dominant order,Noun-Relative clause,NA,NA,NA,NA,Second singular and second plural,Pronouns only,NA,NA,NA,Possessive suffixes,NA,NA,NA,NA,Grammatical marking,TRUE,"Person, Number, Gender","A obligatory, P optional",3,Aspect,NA,800 BC,400 CE
