Language,language,glottocode,affiliation,area,latitude,longitude,Nominal case.no,Nominal case.type,Pronominal case.no,Pronominal case.type,Alignment of Case Marking of Full Noun Phrases,Alignment of Case Marking of Pronouns,Comitatives and Instrumentals,Noun Phrase Conjunction,Nominal and Verbal Conjunction,Definite Articles,Indefinite Articles,Definite marking with demonstratives,plural marking in construct state,definiteness marking in construct state,ClausePosition,Expression of Pronominal Subjects,Indefinite Pronouns,demonstrative declension,Third Person Pronouns and Demonstratives,Distance Contrasts in Demonstratives,Pronominal and Adnominal Demonstratives,Intensifiers and Reflexive Pronouns,Gender Distinctions in Independent Personal Pronouns,Systems of Gender Assignment,Gender.n,Negative Morphemes,InclExcl,pronominal duality,Nominal Duality,Nominal Plurality,Ordinal Numerals,Distributive Numerals,num.behave,NumClass.n,NPHeadlessness,NPMarking ,NPAgrCat ,Order of Adjective and Noun,Order of Adposition and Noun Phrase,Order of Degree Word and Adjective,Order of Demonstrative and Noun,Order of Genitive and Noun,Order of Negative Morpheme and Verb,Order of Numeral and Noun,"Order of Object, Oblique, and Verb",Order of Relative Clause and Noun,Passive Constructions,Reciprocal Constructions,Optative,The Prohibitive,The Morphological Imperative,Person Marking on Adpositions,Position of Interrogative Phrases in Content Questions,Position of Polar Question Particles,Possessive Classification,Position of Pronominal Possessive Affixes,Locus of Marking in Possessive Noun Phrases,Reduplication,The Future Tense,The Past Tense,Perfective/Imperfective Aspect,VAgreement.Presence.v1,VAgreement.Type.v1,Verbal Person Marking,VInflCatAndAgrFmtvMax.n,VInflCatAndAgrFmtvMax.type,WordOrderSOV,time.begin,time.end
Akkadian,Old Akkadian,akka1240,East Semitic,Near East,33.1,44.1,5,"Nominative, Genitive, Accusative, Terminate, Locative",2,"Nominativ, Genitive/Accusative",S=A≠P,,Differentiation,'and' and 'with' are not identical,Nominal and verbal conjunction are largely identical,Neither definite nor indefinite article,Neither indefinite nor definite,no definite article ,on the nomen rectum ,no definite article,flexible-relational fixed:pre-main,"Pronominal subjects are expressed only by pronouns in subject position, but these pronouns are often left out",Interrogative-based indefinites ,"Case, Number, Gender",Third person pronouns and demonstratives are related to remote demonstratives ,Two-way contrast ,Same forms ,Intensifiers and reflexive pronouns are formally identical,Gender distinctions in 3rd person plus 2nd person,"masculine, feminine",2,Negative particle ,FALSE,Only with,paired nouns only,Plural suffix ,First/One-th: All ordinal numerals are derived from cardinal numerals with different allomorphs for 'first' one of which is morphologically independent of 'one',NA,special,0,TRUE,Head Driven Agreement Construct State + Genitive Case,"Case, Number, Gender",Nadj,Prepositions ,NA,Ndem,Ngen,NegV,NumN Nnum,Object-oblique-verb (OXV) ,Nrel,There is a passive construction ,All reciprocal constructions are formally distinct from reflexive constructions. ,Inflectional optative present,The prohibitive uses a verbal construction other than the second singular imperative and a sentential negative strategy not found in (indicative) declaratives,The language has morphologically dedicated second singular as well as second plural imperatives ,Adpositions without person marking Person marking for pronouns only ,Interrogative phrases obligatorily initial ,No question particle,No possessive classification ,Possessive suffixes ,Double marking ,NA,No inflectional marking of future/non-future distinction,No grammatical marking of past/non-past distinction,Grammatical marking of perfective/imperfective distinction ,TRUE,"Person, Number, Gender",Person marking of only the A argument ,4,TAM,SOV OSV,2500 BC,1950 BC
Akkadian,Old Assyrian,akka1240,East Semitic,Near East,35.88,40.95,3,"Nominative, Genitive, Accusative",2 3,"Nominative, Oblique Genitive, Dative, Accusative Nominative, Genitive, Accusative",S=A≠P,,Identity,'and' and 'with' are not identical,Nominal and verbal conjunction are largely identical Nominal and verbal conjunction are different,Neither definite nor indefinite article,Neither indefinite nor definite,no definite article ,on the nomen rectum ,no definite article,flexible-relational fixed:pre-main fixed:post-main,"Pronominal subjects are expressed only by pronouns in subject position, but these pronouns are often left out",Interrogative-based indefinites ,"Case, Number, Gender",Third person pronouns and demonstratives are unrelated to demonstratives ,No distance contrast ,Same forms ,Intensifiers and reflexive pronouns are formally identical,Gender distinctions in 3rd person plus 2nd person,"masculine, feminine",2,Negative particle ,FALSE,No dual,Productive with all nouns ,Plural suffix ,First/One-th: All ordinal numerals are derived from cardinal numerals with different allomorphs for 'first' one of which is morphologically independent of 'one',Marked by mixed or other strategies ,special,0,TRUE,NA,NA,Nadj AdjN,Prepositions ,NA,Ndem DemN,Ngen,NegV,NumN Nnum,More than one order with none dominant,Nrel Correlative relative clause ,There is a passive construction ,There are both reflexive and non-reflexive reciprocal constructions. ,Inflectional optative present,The prohibitive uses a verbal construction other than the second singular imperative and a sentential negative strategy not found in (indicative) declaratives,The language has morphologically dedicated second singular as well as second plural imperatives ,Person marking for pronouns only Adpositions without person marking ,Interrogative phrases obligatorily initial ,No question particle,No possessive classification ,Possessive suffixes ,Double marking ,Full reduplication only ,No inflectional marking of future/non-future distinction,No grammatical marking of past/non-past distinction,No grammatical marking of perfective/imperfective distinction,TRUE,"Person, Number, Gender",Person marking of only the A argument ,5,"Present, Preterite, Perfect, Stative, Imperative, Precative/Asseverative, Prohibitive, Vetitive, Ventive, Subjunctive",SOV OSV,1950 BC,1750 BC
Akkadian,Middle Assyrian,akka1240,East Semitic,Near East,36.21,41.15,3,"Nominative, Genitive, Accusative",2 3,"Nominative, Oblique Genitive, Dative, Accusative Nominative, Genitive, Accusative",S=A≠P,,Identity,'and' and 'with' are not identical,Nominal and verbal conjunction are largely identical Nominal and verbal conjunction are different,Neither definite nor indefinite article,Neither indefinite nor definite,no definite article ,on the nomen rectum ,no definite article,flexible-relational fixed:pre-main fixed:post-main,"Pronominal subjects are expressed only by pronouns in subject position, but these pronouns are often left out",Interrogative-based indefinites ,"Case, Number, Gender",Third person pronouns and demonstratives are unrelated to demonstratives ,No distance contrast ,Same forms ,Intensifiers and reflexive pronouns are formally identical,Gender distinctions in 3rd person plus 2nd person,"masculine, feminine",2,Negative particle ,FALSE,No dual,Productive with all nouns ,Plural suffix ,First/One-th: All ordinal numerals are derived from cardinal numerals with different allomorphs for 'first' one of which is morphologically independent of 'one',Marked by mixed or other strategies ,special,0,TRUE,NA,NA,Nadj AdjN,Prepositions ,NA,Ndem DemN,Ngen,NegV,NumN Nnum,More than one order with none dominant,Nrel Correlative relative clause ,There is a passive construction ,There are both reflexive and non-reflexive reciprocal constructions. ,Inflectional optative present,The prohibitive uses a verbal construction other than the second singular imperative and a sentential negative strategy not found in (indicative) declaratives,The language has morphologically dedicated second singular as well as second plural imperatives ,Person marking for pronouns only Adpositions without person marking ,Interrogative phrases obligatorily initial ,No question particle,No possessive classification ,Possessive suffixes ,Double marking ,Full reduplication only ,No inflectional marking of future/non-future distinction,No grammatical marking of past/non-past distinction,No grammatical marking of perfective/imperfective distinction,TRUE,"Person, Number, Gender",Person marking of only the A argument ,5,"Present, Preterite, Perfect, Stative, Imperative, Precative/Asseverative, Prohibitive, Vetitive, Ventive, Subjunctive",SOV OSV,1500 BC,1000 BC
Akkadian,Neo-Assyrian,akka1240,East Semitic,Near East,36.31,41.05,2,"Nominative/Accusative, Genitive",2 3,"Nominative, Oblique Nominative, Genitive, Accusative/Dative",S=A≠P,,NA,NA,Nominal and verbal conjunction are largely identical Nominal and verbal conjunction are different,Neither definite nor indefinite article,Neither definite nor indefinite article,no definite article ,on the nomen rectum ,Neither definite nor indefinite article,flexible-relational fixed:pre-main,"Pronominal subjects are expressed only by pronouns in subject position, but these pronouns are often left out",Special indefinites ,"Number, Gender",Third person pronouns and demonstratives are unrelated to demonstratives ,Two-way contrast ,Same forms ,NA,Gender distinctions in 3rd person plus 2nd person,NA,NA,Negative particle ,FALSE,No dual,No duality,Plural suffix ,First/One-th: All ordinal numerals are derived from cardinal numerals with different allomorphs for 'first' one of which is morphologically independent of 'one',Marked by suffix ,special,0,NA,NA,NA,Nadj,Prepositions ,NA,Ndem,Ngen,NegV,NumN,More than one order with none dominant,Nrel,NA,NA,Inflectional optative present,The prohibitive uses a verbal construction other than the second singular imperative and a sentential negative strategy found in (indicative) declaratives,The language has morphologically dedicated second singular as well as second plural imperatives ,Person marking for pronouns only Adpositions without person marking ,"Mixed, some interrogative phrases obligatorily initial, some not",NA,No possessive classification ,Possessive suffixes ,Double marking ,NA,No inflectional marking of future/non-future distinction,NA,NA,TRUE,"Person, Number, Gender",Person marking of only the A argument ,4,"Present, Perfect, Preterite, Precative/Cohortative, Imperative, Prohibitive, Stative",SOV SVO,1000 BC,600 BC
Akkadian,Old Babylonian,akka1240,East Semitic,Near East,32.61,44.61,3,"Nominative, Genitive, Accusative",3,"Nominative, Genitive/Accusative, Dative",S=A≠P,,Differentiation,'and' and 'with' are not identical,Nominal and verbal conjunction are largely identical,Neither definite nor indefinite article,Neither indefinite nor definite,no definite article ,on the nomen rectum ,no definite article,flexible-relational fixed:pre-main,"Pronominal subjects are expressed only by pronouns in subject position, but these pronouns are often left out",Interrogative-based indefinites ,"Case, Number, Gender",Third person pronouns and demonstratives are related to remote demonstratives ,Two-way contrast ,Same forms ,Intensifiers and reflexive pronouns are formally identical,Gender distinctions in 3rd person plus 2nd person,"masculine, feminine",2,Negative particle ,FALSE,No dual,paired nouns only,Plural suffix ,First/One-th: All ordinal numerals are derived from cardinal numerals with different allomorphs for 'first' one of which is morphologically independent of 'one',NA,special,0,TRUE,Head Driven Agreement Construct State + Genitive Case,"Case, Number, Gender",Nadj,Prepositions ,NA,Ndem,Ngen,NegV,NumN Nnum,Object-oblique-verb (OXV) ,Nrel,There is a passive construction ,All reciprocal constructions are formally distinct from reflexive constructions. ,Inflectional optative present,The prohibitive uses a verbal construction other than the second singular imperative and a sentential negative strategy not found in (indicative) declaratives,The language has morphologically dedicated second singular as well as second plural imperatives ,Adpositions without person marking  Person marking for pronouns only ,Interrogative phrases obligatorily initial ,No question particle,No possessive classification ,Possessive suffixes ,Double marking ,NA,No inflectional marking of future/non-future distinction,No grammatical marking of past/non-past distinction,Grammatical marking of perfective/imperfective distinction ,TRUE,"Person, Number, Gender",Person marking of only the A argument ,4,"Durative, Perfect, Preterite, Imperative, Prectaive, Vetitive",SOV,1950 BC,1530 BC
Akkadian,Middle Babylonian,akka1240,East Semitic,Near East,32.75,44.51,3,"Nominative, Genitive, Accusative",2,"Nominative, Genitive/Accusative",S=A≠P,,Differentiation,'and' and 'with' are not identical,Nominal and verbal conjunction are largely identical,Neither definite nor indefinite article,Neither indefinite nor definite,no definite article ,on the nomen rectum ,no definite article,flexible-relational fixed:pre-main,"Pronominal subjects are expressed only by pronouns in subject position, but these pronouns are often left out",Interrogative-based indefinites ,"Case, Number, Gender",Third person pronouns and demonstratives are related to remote demonstratives ,Two-way contrast ,Same forms ,Intensifiers and reflexive pronouns are formally identical,Gender distinctions in 3rd person plus 2nd person,"masculine, feminine",2,Negative particle ,FALSE,No dual,paired nouns only,Plural suffix ,First/One-th: All ordinal numerals are derived from cardinal numerals with different allomorphs for 'first' one of which is morphologically independent of 'one',NA,special,0,TRUE,Head Driven Agreement Construct State + Genitive Case,"Case, Number, Gender",Nadj,Prepositions ,NA,Ndem,Ngen,NegV,NumN Nnum,Object-oblique-verb (OXV) ,Nrel,There is a passive construction ,All reciprocal constructions are formally distinct from reflexive constructions. ,Inflectional optative present,The prohibitive uses a verbal construction other than the second singular imperative and a sentential negative strategy not found in (indicative) declaratives,The language has morphologically dedicated second singular as well as second plural imperatives ,Adpositions without person marking  Person marking for pronouns only ,Interrogative phrases obligatorily initial ,No question particle,No possessive classification ,Possessive suffixes ,Double marking ,NA,No inflectional marking of future/non-future distinction,No grammatical marking of past/non-past distinction,Grammatical marking of perfective/imperfective distinction ,TRUE,"Person, Number, Gender",Person marking of only the A argument ,4,"Durative, Perfect, Preterite, Imperative, Prectaive, Vetitive",SOV,1530 BC,1000 BC
Akkadian,Neo-Babylonian,akka1240,East Semitic,Near East,32.5,44.87,3,"Nominative, Genitive, Accusative",2,"Nominative, Genitive/Accusative",S=A≠P,,Differentiation,'and' and 'with' are not identical,Nominal and verbal conjunction are largely identical,Neither definite nor indefinite article,Neither indefinite nor definite,no definite article ,on the nomen rectum ,no definite article,flexible-relational fixed:pre-main,"Pronominal subjects are expressed only by pronouns in subject position, but these pronouns are often left out",Interrogative-based indefinites ,"Case, Number, Gender",Third person pronouns and demonstratives are related to remote demonstratives ,Two-way contrast ,Same forms ,Intensifiers and reflexive pronouns are formally identical,Gender distinctions in 3rd person plus 2nd person,"masculine, feminine",2,Negative particle ,FALSE,No dual,paired nouns only,Plural suffix ,First/One-th: All ordinal numerals are derived from cardinal numerals with different allomorphs for 'first' one of which is morphologically independent of 'one',NA,special,0,TRUE,Head Driven Agreement Construct State + Genitive Case,"Case, Number, Gender",Nadj,Prepositions ,NA,Ndem,Ngen,NegV,NumN Nnum,Object-oblique-verb (OXV) ,Nrel,There is a passive construction ,All reciprocal constructions are formally distinct from reflexive constructions. ,Inflectional optative present,The prohibitive uses a verbal construction other than the second singular imperative and a sentential negative strategy not found in (indicative) declaratives,The language has morphologically dedicated second singular as well as second plural imperatives ,Adpositions without person marking  Person marking for pronouns only ,Interrogative phrases obligatorily initial ,No question particle,No possessive classification ,Possessive suffixes ,Double marking ,NA,No inflectional marking of future/non-future distinction,No grammatical marking of past/non-past distinction,Grammatical marking of perfective/imperfective distinction ,TRUE,"Person, Number, Gender",Person marking of only the A argument ,4,"Durative, Perfect, Preterite, Imperative, Prectaive, Vetitive",SOV,1000 BC,625 BC
Akkadian,Eblaite,ebla1238,East Semitic,Near East,35.8,36.8,3,"Nominative, Genitive, Accusative",2,"Nominative, Genitive/Accusative",S=A≠P,,Differentiation,'and' and 'with' are not identical,Nominal and verbal conjunction are largely identical,Neither definite nor indefinite article,Neither indefinite nor definite,no definite article ,on the nomen rectum ,no definite article,flexible-relational fixed:pre-main,"Pronominal subjects are expressed only by pronouns in subject position, but these pronouns are often left out",Interrogative-based indefinites ,"Case, Number, Gender",Third person pronouns and demonstratives are related to remote demonstratives ,Two-way contrast ,Same forms ,Intensifiers and reflexive pronouns are formally identical,Gender distinctions in 3rd person plus 2nd person,"masculine, feminine",2,Negative particle ,FALSE,Only with,paired nouns only,Plural suffix ,First/One-th: All ordinal numerals are derived from cardinal numerals with different allomorphs for 'first' one of which is morphologically independent of 'one',NA,special,0,TRUE,Head Driven Agreement Construct State + Genitive Case,"Case, Number, Gender",Nadj,Prepositions ,NA,Ndem,Ngen,NegV,NumN Nnum,Object-oblique-verb (OXV) ,Nrel,There is a passive construction ,All reciprocal constructions are formally distinct from reflexive constructions. ,Inflectional optative present,The prohibitive uses a verbal construction other than the second singular imperative and a sentential negative strategy not found in (indicative) declaratives,The language has morphologically dedicated second singular as well as second plural imperatives ,Adpositions without person marking  Person marking for pronouns only ,Interrogative phrases obligatorily initial ,No question particle,No possessive classification ,Possessive suffixes ,Double marking ,NA,No inflectional marking of future/non-future distinction,No grammatical marking of past/non-past distinction,Grammatical marking of perfective/imperfective distinction ,TRUE,"Person, Number, Gender",Person marking of only the A argument ,4,"Durative, Perfect, Preterite, Imperative, Prectaive, Vetitive",SOV,2300 BC,2250 BC
Ancient North Arabian,Dumaitic North Arabian,duma1255,Central Semitic,Near East,29.8,39.89,NA,NA,NA,NA,NA,,Differentiation,'and' and 'with' are not identical,Nominal and verbal conjunction are largely identical,Definite affix on noun ,No indefinite article but definite article ,on the noun,NA,on the nomen rectum ,NA,Pronominal subjects are expressed by affixes on verbs ,NA,NA,NA,NA,NA,NA,NA,"masculine, feminine",2,Negative particle ,NA,Productive dual ,NA,Plural suffix Plural stem change ,NA,NA,noun,NA,NA,Head Driven Agreement Juxtaposition,"Gender,Number,Definiteness ",Nadj,Prepositions ,NA,Ndem,Ngen,NegV,NumN,NA,Nrel,NA,NA,NA,NA,The language has morphologically dedicated second singular as well as second plural imperatives ,Person marking for pronouns only ,NA,NA,NA,Possessive suffixes ,NA,NA,NA,NA,Grammatical marking of perfective/imperfective distinction ,TRUE,"Person, Number, Gender","A obligatory, P optional",3,Aspect,SVO,800 BC,400 CE
Ancient North Arabian,Hasaitic North Arabian,hasa1249,Central Semitic,Near East,25.79,49.27,NA,NA,NA,NA,NA,,Differentiation,'and' and 'with' are not identical,Nominal and verbal conjunction are largely identical,Neither definite nor indefinite article Definite affix on noun ,Neither indefinite nor definite No indefinite article but definite article ,no definite article ,NA,no definite article,NA,Pronominal subjects are expressed by affixes on verbs ,NA,NA,NA,NA,NA,NA,NA,"masculine, feminine",2,Negative particle ,NA,Productive dual ,NA,Plural suffix Plural stem change ,NA,NA,noun,NA,NA,Head Driven Agreement Juxtaposition,"Gender,Number,Definiteness ",Nadj,Prepositions ,NA,Ndem,Ngen,NegV,NumN,More than one order with none dominant,Nrel,NA,NA,NA,NA,The language has morphologically dedicated second singular as well as second plural imperatives ,Person marking for pronouns only ,NA,NA,NA,Possessive suffixes ,NA,NA,NA,NA,Grammatical marking of perfective/imperfective distinction ,TRUE,"Person, Number, Gender","A obligatory, P optional",3,Aspect,NA,800 BC,400 CE
