language,glottocode,family,area,latitude,longitude,98A Alignment of Case Marking of Full Noun Phrases,99A Alignment of Case Marking of Pronouns,52A Comitatives and Instrumentals,63A Noun Phrase Conjunction,64A Nominal and Verbal Conjunction,37A Definite Articles,38A Indefinite Articles,101A Expression of Pronominal Subjects,46A Indefinite Pronouns,43A Third Person Pronouns and Demonstratives,41A Distance Contrasts in Demonstratives,42A Pronominal and Adnominal Demonstratives,47A Intensifiers and Reflexive Pronouns,44A Gender Distinctions in Independent Personal Pronouns,32A Systems of Gender Assignment,32A Systems of Gender Assignment,112A Negative Morphemes,33A Coding of Nominal Plurality,53A Ordinal Numerals,54A Distributive Numerals,87A Order of Adjective and Noun,85A Order of Adposition and Noun Phrase,91A Order of Degree Word and Adjective,88A Order of Demonstrative and Noun,86A Order of Genitive and Noun,143A Order of Negative Morpheme and Verb,89A Order of Numeral and Noun,"84A Order of Object, Oblique, and Verb",90A Order of Relative Clause and Noun,107A Passive Constructions,106A Reciprocal Constructions,73A The Optative,71A The Prohibitive,70A The Morphological Imperative,48A Person Marking on Adpositions,93A Position of Interrogative Phrases in Content Questions,92A Position of Polar Question Particles,59A Possessive Classification,57A Position of Pronominal Possessive Affixes,24A Locus of Marking in Possessive Noun Phrases,27A Reduplication,67A The Future Tense,66A The Past Tense,65A Perfective/Imperfective Aspect,102A Verbal Person Marking,"81A Order of Subject, Object and Verb"
Old Akkadian,akka1240,East Semitic,Near East,33.1,44.1,Nominative - accusative (standard),Nominative - accusative (standard),Differentiation,And different from 'with',Identity,No definite or indefinite article,No definite or indefinite article,Optional pronouns in subject position,Interrogative-based,Related to remote demonstratives,Two-way contrast,Identical,Identical,In 3rd person + 1st and/or 2nd person,Semantic and formal,Two,Negative particle,Plural suffix,"First/one-th, two-th, three-th",,Noun-Adjective,Prepositions,,Noun-Demonstrative,Noun-Genitive,NegV,Numeral-Noun,OXV,Noun-Relative clause,Present,Distinct from reflexive,Inflectional optative present,Special imperative + special negative,Second singular and second plural,No person marking,Initial interrogative phrase,No question particle,No possessive classification,Possessive suffixes,Double marking,Productive full and partial reduplication,No inflectional future,No past tense,Grammatical marking,Only the A argument,SOV
Old Assyrian,akka1240,East Semitic,Near East,35.88,40.95,Nominative - accusative (standard),Nominative - accusative (standard),Identity,And different from 'with',Identity,No definite or indefinite article,No definite or indefinite article,Optional pronouns in subject position,Interrogative-based,Unrelated,No distance contrast,Identical,Identical,In 3rd person + 1st and/or 2nd person,Semantic and formal,Two,Negative particle,Plural suffix,"First/one-th, two-th, three-th",Marked by mixed or other strategies,Noun-Adjective,Prepositions,,Noun-Demonstrative,Noun-Genitive,NegV,Numeral-Noun,No dominant order,Noun-Relative clause,Present,Mixed,Inflectional optative present,Special imperative + special negative,Second singular and second plural,Pronouns only,Initial interrogative phrase,No question particle,No possessive classification,Possessive suffixes,Double marking,Productive full and partial reduplication,No inflectional future,No past tense,No grammatical marking,Only the A argument,SOV
Middle Assyrian,akka1240,East Semitic,Near East,36.21,41.15,Nominative - accusative (standard),Nominative - accusative (standard),Identity,And different from 'with',Identity,No definite or indefinite article,No definite or indefinite article,Optional pronouns in subject position,Interrogative-based,Unrelated,No distance contrast,Identical,Identical,In 3rd person + 1st and/or 2nd person,Semantic and formal,Two,Negative particle,Plural suffix,"First/one-th, two-th, three-th",Marked by mixed or other strategies,Noun-Adjective,Prepositions,,Noun-Demonstrative,Noun-Genitive,NegV,Numeral-Noun,No dominant order,Noun-Relative clause,Present,Mixed,Inflectional optative present,Special imperative + special negative,Second singular and second plural,Pronouns only,Initial interrogative phrase,No question particle,No possessive classification,Possessive suffixes,Double marking,Productive full and partial reduplication,No inflectional future,No past tense,No grammatical marking,Only the A argument,SOV
Neo-Assyrian,akka1240,East Semitic,Near East,36.31,41.05,Nominative - accusative (standard),Nominative - accusative (standard),,,Identity,No definite or indefinite article,No definite or indefinite article,Optional pronouns in subject position,Special,Unrelated,Two-way contrast,Identical,,In 3rd person + 1st and/or 2nd person,,,Negative particle,Plural suffix,"First/one-th, two-th, three-th",Marked by suffix,Noun-Adjective,Prepositions,,Noun-Demonstrative,Noun-Genitive,NegV,Numeral-Noun,No dominant order,Noun-Relative clause,,,Inflectional optative present,Special imperative + normal negative,Second singular and second plural,Pronouns only,Mixed,,No possessive classification,Possessive suffixes,Double marking,Productive full and partial reduplication,No inflectional future,,,Only the A argument,SOV
Old Babylonian,akka1240,East Semitic,Near East,32.61,44.61,Nominative - accusative (standard),Nominative - accusative (standard),Differentiation,And different from 'with',Identity,No definite or indefinite article,No definite or indefinite article,Optional pronouns in subject position,Interrogative-based,Related to remote demonstratives,Two-way contrast,Identical,Identical,In 3rd person + 1st and/or 2nd person,Semantic and formal,Two,Negative particle,Plural suffix,"First/one-th, two-th, three-th",,Noun-Adjective,Prepositions,,Noun-Demonstrative,Noun-Genitive,NegV,Numeral-Noun,OXV,Noun-Relative clause,Present,Distinct from reflexive,Inflectional optative present,Special imperative + special negative,Second singular and second plural,No person marking,Initial interrogative phrase,No question particle,No possessive classification,Possessive suffixes,Double marking,Productive full and partial reduplication,No inflectional future,No past tense,Grammatical marking,Only the A argument,SOV
Middle Babylonian,akka1240,East Semitic,Near East,32.75,44.51,Nominative - accusative (standard),Nominative - accusative (standard),Differentiation,And different from 'with',Identity,No definite or indefinite article,No definite or indefinite article,Optional pronouns in subject position,Interrogative-based,Related to remote demonstratives,Two-way contrast,Identical,Identical,In 3rd person + 1st and/or 2nd person,Semantic and formal,Two,Negative particle,Plural suffix,"First/one-th, two-th, three-th",,Noun-Adjective,Prepositions,,Noun-Demonstrative,Noun-Genitive,NegV,Numeral-Noun,OXV,Noun-Relative clause,Present,Distinct from reflexive,Inflectional optative present,Special imperative + special negative,Second singular and second plural,No person marking,Initial interrogative phrase,No question particle,No possessive classification,Possessive suffixes,Double marking,Productive full and partial reduplication,No inflectional future,No past tense,Grammatical marking,Only the A argument,SOV
Neo-Babylonian,akka1240,East Semitic,Near East,32.5,44.87,Nominative - accusative (standard),Nominative - accusative (standard),Differentiation,And different from 'with',Identity,No definite or indefinite article,No definite or indefinite article,Optional pronouns in subject position,Interrogative-based,Related to remote demonstratives,Two-way contrast,Identical,Identical,In 3rd person + 1st and/or 2nd person,Semantic and formal,Two,Negative particle,Plural suffix,"First/one-th, two-th, three-th",,Noun-Adjective,Prepositions,,Noun-Demonstrative,Noun-Genitive,NegV,Numeral-Noun,OXV,Noun-Relative clause,Present,Distinct from reflexive,Inflectional optative present,Special imperative + special negative,Second singular and second plural,No person marking,Initial interrogative phrase,No question particle,No possessive classification,Possessive suffixes,Double marking,Productive full and partial reduplication,No inflectional future,No past tense,Grammatical marking,Only the A argument,SOV
Eblaite,ebla1238,East Semitic,Near East,35.8,36.8,Nominative - accusative (standard),Nominative - accusative (standard),Differentiation,And different from 'with',Identity,No definite or indefinite article,No definite or indefinite article,Optional pronouns in subject position,Interrogative-based,Related to remote demonstratives,Two-way contrast,Identical,Identical,In 3rd person + 1st and/or 2nd person,Semantic and formal,Two,Negative particle,Plural suffix,"First/one-th, two-th, three-th",,Noun-Adjective,Prepositions,,Noun-Demonstrative,Noun-Genitive,NegV,Numeral-Noun,OXV,Noun-Relative clause,Present,Distinct from reflexive,Inflectional optative present,Special imperative + special negative,Second singular and second plural,No person marking,Initial interrogative phrase,No question particle,No possessive classification,Possessive suffixes,Double marking,Productive full and partial reduplication,No inflectional future,No past tense,Grammatical marking,Only the A argument,SOV
Dumaitic North Arabian,duma1255,Central Semitic,Near East,29.8,39.89,,,Differentiation,And different from 'with',Identity,Definite affix,"No indefinite, but definite article",Subject affixes on verb,,,,,,,Semantic and formal,Two,Negative particle,Plural suffix,,,Noun-Adjective,Prepositions,,Noun-Demonstrative,Noun-Genitive,NegV,Numeral-Noun,,Noun-Relative clause,,,,,Second singular and second plural,Pronouns only,,,,Possessive suffixes,,,,,Grammatical marking,"A obligatory, P optional",SVO
Hasaitic North Arabian,hasa1249,Central Semitic,Near East,25.79,49.27,,,Differentiation,And different from 'with',Identity,No definite or indefinite article,No definite or indefinite article,Subject affixes on verb,,,,,,,Semantic and formal,Two,Negative particle,Plural suffix,,,Noun-Adjective,Prepositions,,Noun-Demonstrative,Noun-Genitive,NegV,Numeral-Noun,No dominant order,Noun-Relative clause,,,,,Second singular and second plural,Pronouns only,,,,Possessive suffixes,,,,,Grammatical marking,"A obligatory, P optional",
Arabic,arab1395,Central Semitic,Near East,29.63,33.12,Nominative - accusative (standard),Nominative - accusative (standard),Differentiation,And different from 'with',Identity,Definite affix,Indefinite affix,Mixed,Interrogative-based,Unrelated,Two-way contrast,Identical,Identical,In 3rd person + 1st and/or 2nd person,Semantic and formal,Two,Negative particle,Plural stem change,"First, two, three",Marked by mixed or other strategies,Noun-Adjective,Prepositions,Adjective-Degree word,Noun-Demonstrative,Noun-Genitive,NegV,Numeral-Noun,VOX,Noun-Relative clause,Present,No reciprocals,Inflectional optative absent,Special imperative + normal negative,Second singular and second plural,Pronouns only,Initial interrogative phrase,Initial,No possessive classification,Possessive suffixes,Double marking,Productive full and partial reduplication,No inflectional future,No past tense,Grammatical marking,Only the A argument,VSO
Old Aramaic,olda1246,Northwest Semitic,Near East,32.84,37,Neutral,Nominative - accusative (standard),,,,Definite affix,Indefinite affix,Subject affixes on verb,,Unrelated,Two-way contrast,,,In 3rd person + 1st and/or 2nd person,Semantic and formal,Two,Negative particle,Plural suffix,"First, two, three",,Noun-Adjective,Prepositions,,Mixed,Noun-Genitive,NegV,No dominant order,,Noun-Relative clause,Present,,,Special imperative + special negative,Second singular and second plural,,Initial interrogative phrase,No question particle,,Possessive suffixes,Head marking,,No inflectional future,No past tense,Grammatical marking,"A obligatory, P optional",VSO
Samal,sama1317,Northwest Semitic,Near East,37.1,36.67,Neutral,Nominative - accusative (standard),,,,Definite affix,Indefinite affix,Subject affixes on verb,,Unrelated,Two-way contrast,,,In 3rd person + 1st and/or 2nd person,Semantic and formal,Two,Negative particle,Plural suffix,"First, two, three",,Noun-Adjective,Prepositions,,Mixed,Noun-Genitive,NegV,No dominant order,,Noun-Relative clause,Present,,,Special imperative + special negative,Second singular and second plural,,Initial interrogative phrase,No question particle,,Possessive suffixes,Head marking,Productive full and partial reduplication,No inflectional future,No past tense,Grammatical marking,"A obligatory, P optional",VSO
Imperial Aramaic,impe1235,Northwest Semitic,Near East,33.91,42.19,Neutral,Nominative - accusative (standard),,,,Definite affix,Indefinite affix,Subject affixes on verb,Mixed indefinites ,Unrelated,Two-way contrast,,,In 3rd person + 1st and/or 2nd person,Semantic and formal,Two,Negative particle,Plural suffix,"First, two, three",,Noun-Adjective,Prepositions,,Noun-Demonstrative,Noun-Genitive,NegV,No dominant order,,Noun-Relative clause,Present,,Inflectional optative present,Special imperative + special negative,Second singular and second plural,,Initial interrogative phrase,No question particle,,Possessive suffixes,Head marking,Productive full and partial reduplication,No inflectional future,No past tense,Grammatical marking,"A obligatory, P optional",VSO
Middle Aramaic,midd1366,Northwest Semitic,Near East,32.28,35.2,Neutral,Nominative - accusative (standard),,,,Definite affix,Indefinite affix,Subject affixes on verb,,Unrelated,Two-way contrast,,,In 3rd person + 1st and/or 2nd person,Semantic and formal,Two,Negative particle,Plural suffix,"First, two, three",,Noun-Adjective,Prepositions,,Mixed,Noun-Genitive,NegV,No dominant order,,Noun-Relative clause,Present,,,Special imperative + special negative,Second singular and second plural,,Initial interrogative phrase,No question particle,,Possessive suffixes,Head marking,,No inflectional future,No past tense,Grammatical marking,"A obligatory, P optional",VSO
Jewish Palestinian Aramaic,pale1261,Northwest Semitic,Near East,32.28,35.2,Neutral,Nominative - accusative (standard),,,,"No definite, but indefinite article",indefinite word distinct from 'one',Subject affixes on verb,,Related to remote demonstratives,Two-way contrast,Different stem,,In 3rd person + 1st and/or 2nd person,Semantic and formal,Two,Negative particle,Plural suffix,"First, two, three",Marked by reduplication,Noun-Adjective,Prepositions,,Demonstrative-Noun,Noun-Genitive,NegV,No dominant order,,Noun-Relative clause,Present,,,Special imperative + special negative,Second singular and second plural,,Initial interrogative phrase,No question particle,No possessive classification,Possessive suffixes,Head marking,Productive full and partial reduplication,Inflectional future exists,"Present, no remoteness distinctions",No grammatical marking,"A obligatory, P optional",VSO
Jewish Babylonian Aramaic,jewi1240,Northwest Semitic,Near East,32.27,44.24,Neutral,Nominative - accusative (standard),Differentiation,,,"No definite, but indefinite article",indefinite word distinct from 'one',Subject affixes on verb,Generic-noun-based,Related to remote demonstratives,Three-way contrast,Identical,Identical,In 3rd person + 1st and/or 2nd person,Semantic and formal,Two,Negative particle,Plural suffix,"First, two, three",,Noun-Adjective,Prepositions,,Demonstrative-Noun,Noun-Genitive,NegV,Numeral-Noun,No dominant order,Noun-Relative clause,Present,Distinct from reflexive,Inflectional optative absent,Special imperative + special negative,Second singular and second plural,Pronouns only,Not initial interrogative phrase,Initial,,Possessive suffixes,Head marking,Productive full and partial reduplication,Inflectional future exists,"Present, no remoteness distinctions",No grammatical marking,Only the A argument,No dominant order
Syriac,clas1252,Northwest Semitic,Near East,37.11,42.14,Neutral,Nominative - accusative (standard),,,,"No definite, but indefinite article",indefinite word distinct from 'one',Subject affixes on verb,,Related to remote demonstratives,Two-way contrast,Identical,,In 3rd person + 1st and/or 2nd person,Semantic and formal,Two,Negative particle,Plural suffix,"First, two, three",,Noun-Adjective,Prepositions,,Mixed,Noun-Genitive,NegV,No dominant order,,Noun-Relative clause,Present,,Inflectional optative absent,Special imperative + special negative,Second singular and second plural,,Initial interrogative phrase,No question particle,,Possessive suffixes,Head marking,Productive full and partial reduplication,Inflectional future exists,"Present, no remoteness distinctions",No grammatical marking,"A obligatory, P optional",VSO
Mandaic Aramaic,clas1253,Northwest Semitic,Near East,36.12,49.57,Neutral,Nominative - accusative (standard),,,,"No definite, but indefinite article",indefinite word distinct from 'one',Subject affixes on verb,,Related to non-remote demonstratives,Two-way contrast,Identical,,In 3rd person + 1st and/or 2nd person,Semantic and formal,Two,Negative particle,Plural suffix,"First, two, three",,Noun-Adjective,Prepositions,,Demonstrative-Noun,Noun-Genitive,NegV,No dominant order,,Noun-Relative clause,Present,,Inflectional optative present,Special imperative + special negative,Second singular and second plural,,Initial interrogative phrase,Initial,,Possessive suffixes,Head marking,Productive full and partial reduplication,Inflectional future exists,"Present, no remoteness distinctions",No grammatical marking,"A obligatory, P optional",No dominant order
Earlier Egyptian,egyp1246,Egyptian,Near East,28.38,30.83,Neutral,Nominative - accusative (standard),,,,No definite or indefinite article,No definite or indefinite article,Subject affixes on verb,,Unrelated,No distance contrast,Identical,,In 3rd person + 1st and/or 2nd person,Semantic and formal,Two,Negative particle,Plural suffix,,,Noun-Adjective,Prepositions,,Noun-Demonstrative,Noun-Genitive,NegV,Noun-Numeral,,Noun-Relative clause,Present,,Inflectional optative present,Normal imperative + special negative,Second singular and second plural,Pronouns only,Not initial interrogative phrase,,No possessive classification,Possessive suffixes,No marking,Productive full and partial reduplication,No inflectional future,No past tense,Grammatical marking,Only the A argument,
Middle Egyptian,egyp1246,Egyptian,Near East,28.41,30.93,Neutral,Nominative - accusative (standard),Differentiation,And identical to 'with',Differentiation,No definite or indefinite article,No definite or indefinite article,Subject affixes on verb,Special,Unrelated,Two-way contrast,Identical,Differentiated,In 3rd person + 1st and/or 2nd person,Semantic and formal,Two,Negative particle,Plural suffix,"First, two, three",,Noun-Adjective,Prepositions,Adjective-Degree word,Noun-Demonstrative,Noun-Genitive,NegV,Noun-Numeral,VOX,Noun-Relative clause,Present,,Inflectional optative present,Special imperative + special negative,Second singular and second plural,Pronouns only,Not initial interrogative phrase,Initial,No possessive classification,Possessive suffixes,Dependent marking,Productive full and partial reduplication,Inflectional future exists,"Present, 2-3 remoteness distinctions",,No person marking,VSO
Later Egyptian,copt1239,Egyptian,Near East,29.47,31.21,Neutral,Nominative - accusative (standard),,,,Definite affix,indefinite word distinct from 'one',Subject affixes on verb,,Unrelated,No distance contrast,Identical,,In 3rd person + 1st and/or 2nd person,Semantic and formal,Two,Negative particle,Plural suffix,,,Noun-Adjective,Prepositions,,Demonstrative prefix,Noun-Genitive,NegV,Noun-Numeral,,Noun-Relative clause,Present,,Inflectional optative present,Normal imperative + special negative,Second singular and second plural,Pronouns only,Not initial interrogative phrase,,No possessive classification,Possessive suffixes,No marking,Productive full and partial reduplication,Inflectional future exists,"Present, no remoteness distinctions",,Only the A argument,
Coptic,copt1239,Egyptian,Near East,29.4,31,Neutral,,,And identical to 'with',Identity,Definite word distinct from demonstrative,indefinite word distinct from 'one',Obligatory pronouns in subject position,Generic-noun-based,Unrelated,Three-way contrast,Different stem,,In 3rd person + 1st and/or 2nd person,Semantic and formal,Two,Variation between negative word and affix,Plural word,"First, two, three",Marked by reduplication,Noun-Adjective,Prepositions,,Demonstrative-Noun,Noun-Genitive,NegV,Numeral-Noun,XVO,Noun-Relative clause,Present,Distinct from reflexive,Inflectional optative present,Special imperative + special negative,Second person number-neutral,Pronouns only,Not initial interrogative phrase,Initial,No possessive classification,Possessive prefixes,Dependent marking,Full reduplication only,Inflectional future exists,"Present, 2-3 remoteness distinctions",Grammatical marking,No person marking,
